cityTitle,storeTitle,title,activityTimeRange,cacheAmount,terminalEnabled,admin4Name_en,admin4Name_ua,admin4Name_ru,admin4Pcode,admin3Name_en,admin3Name_ua,admin3Name_ru,admin3Pcode,admin2Name_en,admin2Name_ua,admin2Name_ru,admin2Pcode,admin1Name_en,admin1Name_ua,admin1Name_ru,admin1Pcode,duplicated
Вінниця,"вул. Келецька, 121","Вінниця, вул. Келецька, 121",09:00 - 19:00,6000,True,Vinnytsia,Вінниця,Винница,UA0502003001,Vinnytska,Вінницька,Винницкая,UA0502003,Vinnytskyi,Вінницький,Винницкий,UA0502,Vinnytska,Вінницька,Винницкая,UA05,False
Вінниця,"просп. Космонавтів, 49","Вінниця, просп. Космонавтів, 49",09:00 - 19:00,6000,True,Vinnytsia,Вінниця,Винница,UA0502003001,Vinnytska,Вінницька,Винницкая,UA0502003,Vinnytskyi,Вінницький,Винницкий,UA0502,Vinnytska,Вінницька,Винницкая,UA05,False
Вінниця,"вул. Оводова Миколи, 51","Вінниця, вул. Оводова Миколи, 51",09:00 - 19:00,6000,True,Vinnytsia,Вінниця,Винница,UA0502003001,Vinnytska,Вінницька,Винницкая,UA0502003,Vinnytskyi,Вінницький,Винницкий,UA0502,Vinnytska,Вінницька,Винницкая,UA05,False
Вінниця,"просп. Юності, 18","Вінниця, просп. Юності, 18",09:00 - 19:00,6000,True,Vinnytsia,Вінниця,Винница,UA0502003001,Vinnytska,Вінницька,Винницкая,UA0502003,Vinnytskyi,Вінницький,Винницкий,UA0502,Vinnytska,Вінницька,Винницкая,UA05,False
Дніпро,"пл. Вокзальна, 13","Дніпро, пл. Вокзальна, 13",08:00 - 17:00,6000,True,Dnipro,Дніпро,Днипро,UA1202001001,Dniprovska,Дніпровська,Днепровская,UA1202001,Dniprovskyi,Дніпровський,Днипровский,UA1202,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,False
Дніпро,"просп. Гагаріна, 3","Дніпро, просп. Гагаріна, 3",08:00 - 18:00,6000,True,Dnipro,Дніпро,Днипро,UA1202001001,Dniprovska,Дніпровська,Днепровская,UA1202001,Dniprovskyi,Дніпровський,Днипровский,UA1202,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,False
Дніпро,"вул. Європейська, 18a","Дніпро, вул. Європейська, 18a",08:00 - 18:00,6000,True,Dnipro,Дніпро,Днипро,UA1202001001,Dniprovska,Дніпровська,Днепровская,UA1202001,Dniprovskyi,Дніпровський,Днипровский,UA1202,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,False
Дніпро,"бул. Катеринославський, 1","Дніпро, бул. Катеринославський, 1",07:00 - 18:00,6000,True,Dnipro,Дніпро,Днипро,UA1202001001,Dniprovska,Дніпровська,Днепровская,UA1202001,Dniprovskyi,Дніпровський,Днипровский,UA1202,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,False
Дніпро,"вул. Кондратюка Юрія, 4","Дніпро, вул. Кондратюка Юрія, 4",08:00 - 18:00,6000,True,Dnipro,Дніпро,Днипро,UA1202001001,Dniprovska,Дніпровська,Днепровская,UA1202001,Dniprovskyi,Дніпровський,Днипровский,UA1202,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,False
Дніпро,"пров. Крушельницької, 6а","Дніпро, пров. Крушельницької, 6а",08:00 - 18:00,6000,True,Dnipro,Дніпро,Днипро,UA1202001001,Dniprovska,Дніпровська,Днепровская,UA1202001,Dniprovskyi,Дніпровський,Днипровский,UA1202,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,False
Дніпро,"вул. Новокримська, 3а","Дніпро, вул. Новокримська, 3а",09:00 - 18:00,6000,True,Dnipro,Дніпро,Днипро,UA1202001001,Dniprovska,Дніпровська,Днепровская,UA1202001,Dniprovskyi,Дніпровський,Днипровский,UA1202,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,False
Дніпро,"вул. Пастера, 6А","Дніпро, вул. Пастера, 6А",08:00 - 18:00,6000,True,Dnipro,Дніпро,Днипро,UA1202001001,Dniprovska,Дніпровська,Днепровская,UA1202001,Dniprovskyi,Дніпровський,Днипровский,UA1202,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,False
Дніпро,"бул. Слави, 5","Дніпро, бул. Слави, 5",08:30 - 18:00,6000,True,Dnipro,Дніпро,Днипро,UA1202001001,Dniprovska,Дніпровська,Днепровская,UA1202001,Dniprovskyi,Дніпровський,Днипровский,UA1202,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,False
Дніпро,"просп. Слобожанський, 31д","Дніпро, просп. Слобожанський, 31д",08:30 - 18:00,6000,True,Dnipro,Дніпро,Днипро,UA1202001001,Dniprovska,Дніпровська,Днепровская,UA1202001,Dniprovskyi,Дніпровський,Днипровский,UA1202,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,False
Дніпро,"просп. Слобожанський, 76/78","Дніпро, просп. Слобожанський, 76/78",08:00 - 18:00,6000,True,Dnipro,Дніпро,Днипро,UA1202001001,Dniprovska,Дніпровська,Днепровская,UA1202001,Dniprovskyi,Дніпровський,Днипровский,UA1202,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,False
Дніпро,"вул. Титова, 36","Дніпро, вул. Титова, 36",08:00 - 18:00,6000,True,Dnipro,Дніпро,Днипро,UA1202001001,Dniprovska,Дніпровська,Днепровская,UA1202001,Dniprovskyi,Дніпровський,Днипровский,UA1202,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,False
Дніпро,"вул. Тополина, 1","Дніпро, вул. Тополина, 1",зачинено,0,False,Dnipro,Дніпро,Днипро,UA1202001001,Dniprovska,Дніпровська,Днепровская,UA1202001,Dniprovskyi,Дніпровський,Днипровский,UA1202,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,False
