cityTitle,storeTitle,title,activityTimeRange,cacheAmount,terminalEnabled,city_UKR,city_ENG,admin2Name_ua,admin2Pcode,admin1Name_en,admin1Name_ua,admin1Pcode
Запоріжжя,"просп. Преображенського Інженера , 13","Запоріжжя, просп. Преображенського Інженера , 13",зачинено,0,False,Запоріжжя,Zaporizhzhia,Запорізький,UA2306,Zaporizka,Запорізька,UA23
Запоріжжя,"вул. Руставі, 1г","Запоріжжя, вул. Руставі, 1г",зачинено,0,False,Запоріжжя,Zaporizhzhia,Запорізький,UA2306,Zaporizka,Запорізька,UA23
Запоріжжя,"вул. Сергієнка Василя, 9","Запоріжжя, вул. Сергієнка Василя, 9",зачинено,0,False,Запоріжжя,Zaporizhzhia,Запорізький,UA2306,Zaporizka,Запорізька,UA23
Запоріжжя,"вул. Ситова, 4","Запоріжжя, вул. Ситова, 4",зачинено,0,False,Запоріжжя,Zaporizhzhia,Запорізький,UA2306,Zaporizka,Запорізька,UA23
Запоріжжя,"просп. Соборний, 147","Запоріжжя, просп. Соборний, 147",зачинено,0,False,Запоріжжя,Zaporizhzhia,Запорізький,UA2306,Zaporizka,Запорізька,UA23
Запоріжжя,"вул. Фортечна, 6","Запоріжжя, вул. Фортечна, 6",зачинено,0,False,Запоріжжя,Zaporizhzhia,Запорізький,UA2306,Zaporizka,Запорізька,UA23
Запоріжжя,"шосе Хортицьке, 30а","Запоріжжя, шосе Хортицьке, 30а",зачинено,0,False,Запоріжжя,Zaporizhzhia,Запорізький,UA2306,Zaporizka,Запорізька,UA23
Запоріжжя,"вул. Чарівна, 155б","Запоріжжя, вул. Чарівна, 155б",зачинено,0,False,Запоріжжя,Zaporizhzhia,Запорізький,UA2306,Zaporizka,Запорізька,UA23
Запоріжжя,"вул. Чарівна, 74","Запоріжжя, вул. Чарівна, 74",зачинено,6000,True,Запоріжжя,Zaporizhzhia,Запорізький,UA2306,Zaporizka,Запорізька,UA23
Івано-Франківськ,"вул. Дністровська, 3","Івано-Франківськ, вул. Дністровська, 3",07:00 - 20:00,6000,True,Івано-Франківськ,Ivano-Frankivsk,Івано-Франківський,UA2604,Ivano-Frankivska,Івано-Франківська,UA26
