cityTitle,storeTitle,title,activityTimeRange,cacheAmount,terminalEnabled,admin4Name_en,admin4Name_ua,admin4Pcode,admin3Name_en,admin3Name_ua,admin3Pcode,admin2Name_en,admin2Name_ua,admin2Pcode,admin1Name_en,admin1Name_ua,admin1Pcode
Львів,"вул. Городоцька, 179","Львів, вул. Городоцька, 179",з 08:00 до 23:00,6000,True,Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Кульпарківська, 226 а","Львів, вул. Кульпарківська, 226 а",з 08:00 до 23:00,6000,True,Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Кульпарківська, 93а","Львів, вул. Кульпарківська, 93а",з 08:00 до 23:00,6000,True,Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Мазепи Гетьмана, 11","Львів, вул. Мазепи Гетьмана, 11",з 08:00 до 22:00,6000,True,Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Мазепи Гетьмана, 1Б","Львів, вул. Мазепи Гетьмана, 1Б",з 08:00 до 23:00,6000,True,Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Наукова, 35а","Львів, вул. Наукова, 35а",з 08:00 до 23:00,6000,True,Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Пасічна, 164","Львів, вул. Пасічна, 164",з 08:00 до 22:00,6000,True,Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Під Дубом, 7б","Львів, вул. Під Дубом, 7б",з 08:00 до 23:00,6000,True,Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"вул. Сахарова академіка, 45","Львів, вул. Сахарова академіка, 45",з 08:00 до 22:00,6000,True,Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
Львів,"пл. Соборна, 14-15","Львів, пл. Соборна, 14-15",з 08:00 до 23:00,6000,True,Lviv,Львів,UA4606025001,Lvivska,Львівська,UA4606025,Lvivskyi,Львівський,UA4606,Lvivska,Львівська,UA46
