cityTitle,storeTitle,title,activityTimeRange,cacheAmount,terminalEnabled
Миколаїв,"просп. Центральний, 259/1","Миколаїв, просп. Центральний, 259/1",зачинено,0,False
Миколаїв,"просп. Центральний, 98","Миколаїв, просп. Центральний, 98",зачинено,0,False
Миколаїв,"вул. Чкалова, 82","Миколаїв, вул. Чкалова, 82",зачинено,0,False
Миргород,"вул. Гоголя Миколи, 98/6","Миргород, вул. Гоголя Миколи, 98/6",08:00 - 17:00,0,True
Мукачево,"вул. Федорова Івана, 6","Мукачево, вул. Федорова Івана, 6",08:00 - 20:00,6000,True
Нетішин,"вул. Лісова, 1Б","Нетішин, вул. Лісова, 1Б",08:00 - 20:00,6000,True
Ніжин,"вул. Незалежності, 36/1","Ніжин, вул. Незалежності, 36/1",09:00 - 16:00,6000,True
Новий Розділ,"вул. Шевченка, 30А","Новий Розділ, вул. Шевченка, 30А",08:00 - 20:00,6000,True
Обухів,"вул. Київська, 107","Обухів, вул. Київська, 107",зачинено,6000,True
Овідіополь,"вул. Шевченка, 228","Овідіополь, вул. Шевченка, 228",08:00 - 18:00,6000,True
Одеса,"вул. Бочарова, 13а","Одеса, вул. Бочарова, 13а",08:00 - 18:00,6000,True
Одеса,"вул. Бочарова, 44","Одеса, вул. Бочарова, 44",зачинено,0,False
Одеса,"вул. Вільямса Академіка, 75","Одеса, вул. Вільямса Академіка, 75",08:00 - 18:00,6000,True
Одеса,"вул. Генуезька, 24б","Одеса, вул. Генуезька, 24б",09:00 - 18:00,6000,True
Одеса,"вул. Генуезька, 5","Одеса, вул. Генуезька, 5",09:00 - 18:00,6000,True
Одеса,"вул. Героїв Крут, 17/1","Одеса, вул. Героїв Крут, 17/1",09:00 - 18:00,6000,True
Одеса,"вул. Героїв Оборони Одеси, 98б","Одеса, вул. Героїв Оборони Одеси, 98б",08:00 - 18:00,6000,True
Одеса,"вул. Довженка Олександра, 4","Одеса, вул. Довженка Олександра, 4",09:00 - 18:00,6000,True
Одеса,"вул. Єврейська, 50/1","Одеса, вул. Єврейська, 50/1",09:00 - 18:00,6000,True
Одеса,"вул. Катерининська, 27/1","Одеса, вул. Катерининська, 27/1",08:00 - 18:00,6000,True
Одеса,"вул. Корольова, 44","Одеса, вул. Корольова, 44",08:00 - 18:00,6000,True
Одеса,"вул. Кримська, 71","Одеса, вул. Кримська, 71",08:00 - 18:00,6000,True
Одеса,"дорога Люстдорфська, 54","Одеса, дорога Люстдорфська, 54",зачинено,0,False
Одеса,"вул. Малиновського, 33","Одеса, вул. Малиновського, 33",09:00 - 18:00,6000,True
Одеса,"просп. Небесної Сотні, 14","Одеса, просп. Небесної Сотні, 14",08:00 - 18:00,6000,True
Одеса,"просп. Небесної Сотні, 2","Одеса, просп. Небесної Сотні, 2",09:00 - 18:00,6000,True
Одеса,"просп. Небесної Сотні, 5а","Одеса, просп. Небесної Сотні, 5а",08:00 - 18:00,6000,True
Одеса,"вул. Новощепний Ряд, 2","Одеса, вул. Новощепний Ряд, 2",08:00 - 18:00,6000,True
Одеса,"дорога Овідіопільська, 1","Одеса, дорога Овідіопільська, 1",09:00 - 18:00,0,True
Одеса,"вул. Палія Семена, 125 Б","Одеса, вул. Палія Семена, 125 Б",08:00 - 18:00,6000,True
Одеса,"вул. Палія Семена, 72","Одеса, вул. Палія Семена, 72",08:00 - 18:00,6000,True
Одеса,"вул. Палія Семена, 93а","Одеса, вул. Палія Семена, 93а",зачинено,0,False
Одеса,"вул. Петрова Генерала, 51","Одеса, вул. Петрова Генерала, 51",08:00 - 18:00,6000,True
Одеса,"пров. Семафорний, 4","Одеса, пров. Семафорний, 4",09:00 - 18:00,6000,True
Одеса,"вул. Філатова Академіка, 1","Одеса, вул. Філатова Академіка, 1",08:00 - 18:00,6000,True
Одеса,"вул. Фонтанська дорога, 39","Одеса, вул. Фонтанська дорога, 39",зачинено,0,False
Одеса,"вул. Фонтанська дорога, 58","Одеса, вул. Фонтанська дорога, 58",зачинено,0,False
Одеса,"бул. Французький, 16","Одеса, бул. Французький, 16",09:00 - 19:00,6000,True
Одеса,"вул. Черняховського, 1","Одеса, вул. Черняховського, 1",08:00 - 18:00,6000,True
Остер,"вул. Хмельницького Богдана, 54","Остер, вул. Хмельницького Богдана, 54",зачинено,0,False
Павлоград,"вул. Горького, 166","Павлоград, вул. Горького, 166",08:00 - 18:00,6000,True
Полтава,"вул. Європейська, 185","Полтава, вул. Європейська, 185",08:00 - 18:00,6000,True
Полтава,"вул. Європейська, 60А","Полтава, вул. Європейська, 60А",зачинено,6000,True
Полтава,"вул. Зіньківська, 6/1а","Полтава, вул. Зіньківська, 6/1а",08:00 - 17:00,6000,True
Полтава,"вул. Мазепи Івана, 45/4","Полтава, вул. Мазепи Івана, 45/4",08:00 - 17:00,6000,True
Полтава,"просп. Миру, 30а","Полтава, просп. Миру, 30а",08:00 - 18:00,6000,True
Прилуки,"вул. Київська, 138","Прилуки, вул. Київська, 138",08:00 - 17:00,6000,True
Радомишль,"вул. Велика Житомирська, 1/2","Радомишль, вул. Велика Житомирська, 1/2",зачинено,0,False
Рівне,"вул. Гагаріна, 16","Рівне, вул. Гагаріна, 16",зачинено,6000,True
Рівне,"вул. Київська, 69","Рівне, вул. Київська, 69",08:00 - 20:00,6000,True
Рівне,"вул. Короленка, 1","Рівне, вул. Короленка, 1",08:00 - 20:00,6000,True
Самбір,"вул. Валова, 24/1","Самбір, вул. Валова, 24/1",08:00 - 20:00,6000,True
